解析対象件数,解析上の位置付け,モデル,項目（比較対象／基準）,回帰係数,調整オッズ比,95%CI下限,95%CI上限,標準誤差
558,その他交通の疎セルを除いた探索的感度分析,通学中・自転車徒歩二群感度分析,切片,0.4832995375919014,1.6214155071768832,1.222598856836882,2.150327748314284,0.1440411908194493
558,その他交通の疎セルを除いた探索的感度分析,通学中・自転車徒歩二群感度分析,通学方法：徒歩（対 自転車）,-1.012228236536682,0.3634083170432354,0.1823722666173002,0.7241539919736276,0.3517739915407267
558,その他交通の疎セルを除いた探索的感度分析,通学中・自転車徒歩二群感度分析,発生場所2（二値）：道路以外（対 道路）,-0.9432523438669624,0.3893594430559513,0.1474554315217324,1.0281125241188367,0.4953964102904474
558,その他交通の疎セルを除いた探索的感度分析,通学中・自転車徒歩二群感度分析,被災学校種：その他（少数カテゴリ）（対 高）,0.7310769906184379,2.0773166539053625,0.6165438485208589,6.999087722544328,0.6197463390780503
558,その他交通の疎セルを除いた探索的感度分析,通学中・自転車徒歩二群感度分析,被災学校種：中（対 高）,-0.1764388259611081,0.8382500567283117,0.5214314064161103,1.3475658523036524,0.2422136319143786
558,その他交通の疎セルを除いた探索的感度分析,通学中・自転車徒歩二群感度分析,被災学校種：小（対 高）,-0.9865719007609406,0.3728526786502967,0.1690543883284801,0.8223336959853487,0.4035524952263368
558,その他交通の疎セルを除いた探索的感度分析,通学中・自転車徒歩二群感度分析,性別：女（対 男）,0.0617336611308289,1.063679007933774,0.7234427617437037,1.5639288852540991,0.1966670970265952
558,その他交通の疎セルを除いた探索的感度分析,通学中・自転車徒歩二群感度分析,給付年度（西暦換算・標準化）,-0.2030536904372114,0.8162344162664481,0.681262277658604,0.9779473253496306,0.0922215410605656
